holiday,temperature,rain,snow,clouds,weather_condition,weather_description,datetime,station_name,traffic_volume
False,11.9,4.9,0.0,4,Rain,Light Rain,2024-01-01T06:00:00,Station D,1260
True,15.9,0.0,0.0,54,Clear,Clear skies,2024-01-01T07:00:00,Station A,1183
False,12.3,0.0,1.7,14,Snow,Light Snow,2024-01-01T08:00:00,Station D,1478
True,-1.4,3.4,0.0,92,Rain,Drizzle,2024-01-01T09:00:00,Station B,525
False,29.7,0.0,2.0,16,Snow,Snow Showers,2024-01-01T10:00:00,Station C,903
False,21.1,0.0,0.0,36,Cloudy,Overcast,2024-01-01T11:00:00,Station B,226
False,17.3,0.0,0.0,20,Cloudy,Partly Cloudy,2024-01-01T12:00:00,Station B,256
False,15.1,0.0,0.0,26,Cloudy,Partly Cloudy,2024-01-01T13:00:00,Station C,87
True,27.3,0.0,0.0,22,Cloudy,Overcast,2024-01-01T14:00:00,Station C,1081
False,17.8,0.0,1.1,14,Snow,Snow Showers,2024-01-01T15:00:00,Station C,578
True,28.4,8.7,0.0,19,Rain,Drizzle,2024-01-01T16:00:00,Station A,1287
True,33.3,0.0,4.9,58,Snow,Heavy Snowfall,2024-01-01T17:00:00,Station A,1300
False,18.3,0.0,0.0,21,Clear,Sunny,2024-01-01T18:00:00,Station A,470
False,12.8,0.0,0.5,97,Snow,Snow Showers,2024-01-01T19:00:00,Station C,1375
True,9.8,0.0,0.0,25,Clear,Sunny,2024-01-01T20:00:00,Station B,901
False,12.7,0.9,0.0,36,Rain,Heavy Rain,2024-01-01T21:00:00,Station D,812
True,23.9,0.0,0.0,96,Cloudy,Overcast,2024-01-01T22:00:00,Station B,913
False,30.4,0.0,2.6,52,Snow,Light Snow,2024-01-01T23:00:00,Station D,1447
True,-9.6,0.0,0.0,98,Cloudy,Overcast,2024-01-02T00:00:00,Station D,1109
False,34.2,1.6,0.0,51,Rain,Light Rain,2024-01-02T01:00:00,Station C,175
False,34.1,0.0,0.0,80,Clear,Clear skies,2024-01-02T02:00:00,Station B,1402
False,23.4,9.1,0.0,92,Rain,Drizzle,2024-01-02T03:00:00,Station D,66
False,19.0,0.0,3.1,57,Snow,Heavy Snowfall,2024-01-02T04:00:00,Station B,1316
False,-1.1,0.0,0.2,99,Snow,Heavy Snowfall,2024-01-02T05:00:00,Station C,735
False,-5.8,5.5,0.0,27,Rain,Drizzle,2024-01-02T06:00:00,Station B,1117
False,30.1,0.0,0.0,3,Clear,Sunny,2024-01-02T07:00:00,Station B,1155
False,-5.0,0.0,1.9,64,Snow,Light Snow,2024-01-02T08:00:00,Station C,1334
False,3.4,0.0,0.0,57,Clear,Clear skies,2024-01-02T09:00:00,Station A,60
True,3.5,0.0,0.0,44,Cloudy,Mostly Cloudy,2024-01-02T10:00:00,Station B,1415
True,4.8,0.0,0.0,13,Cloudy,Partly Cloudy,2024-01-02T11:00:00,Station D,1242
True,22.0,0.0,0.0,18,Clear,Sunny,2024-01-02T12:00:00,Station D,893
False,11.4,0.0,1.8,16,Snow,Heavy Snowfall,2024-01-02T13:00:00,Station A,1127
False,12.4,4.2,0.0,74,Rain,Drizzle,2024-01-02T14:00:00,Station D,951
False,12.8,0.0,0.0,18,Cloudy,Overcast,2024-01-02T15:00:00,Station D,1042
False,11.3,0.0,0.0,58,Cloudy,Overcast,2024-01-02T16:00:00,Station A,371
True,6.6,0.0,0.0,15,Clear,Bright day,2024-01-02T17:00:00,Station D,643
False,3.7,0.0,0.0,47,Clear,Clear skies,2024-01-02T18:00:00,Station B,816
False,-3.6,0.0,0.0,18,Clear,Sunny,2024-01-02T19:00:00,Station D,1257
True,-1.8,7.4,0.0,27,Rain,Drizzle,2024-01-02T20:00:00,Station C,54
False,8.8,0.0,0.0,5,Clear,Bright day,2024-01-02T21:00:00,Station C,1223
True,7.0,8.3,0.0,100,Rain,Light Rain,2024-01-02T22:00:00,Station D,1290
False,10.2,0.0,1.6,85,Snow,Snow Showers,2024-01-02T23:00:00,Station D,1329
True,14.3,0.0,4.5,43,Snow,Light Snow,2024-01-03T00:00:00,Station B,618
True,19.0,6.4,0.0,71,Rain,Drizzle,2024-01-03T01:00:00,Station A,224
True,11.4,0.0,0.0,96,Cloudy,Mostly Cloudy,2024-01-03T02:00:00,Station A,88
False,25.4,0.0,0.0,35,Clear,Sunny,2024-01-03T03:00:00,Station B,552
True,-8.0,0.0,0.1,75,Snow,Snow Showers,2024-01-03T04:00:00,Station C,945
True,1.6,1.1,0.0,48,Rain,Heavy Rain,2024-01-03T05:00:00,Station A,253
False,24.6,0.0,0.0,32,Cloudy,Partly Cloudy,2024-01-03T06:00:00,Station B,365
True,33.3,0.0,0.0,78,Clear,Bright day,2024-01-03T07:00:00,Station B,421
False,-5.6,1.4,0.0,49,Rain,Heavy Rain,2024-01-03T08:00:00,Station A,713
True,0.8,0.0,0.0,25,Clear,Clear skies,2024-01-03T09:00:00,Station A,1272
False,-7.3,0.0,0.0,34,Clear,Sunny,2024-01-03T10:00:00,Station D,1001
False,18.5,0.0,0.0,52,Clear,Bright day,2024-01-03T11:00:00,Station D,88
False,15.0,0.0,0.0,97,Cloudy,Mostly Cloudy,2024-01-03T12:00:00,Station A,307
False,28.1,0.0,3.9,10,Snow,Heavy Snowfall,2024-01-03T13:00:00,Station D,341
False,32.9,0.0,0.0,68,Cloudy,Overcast,2024-01-03T14:00:00,Station B,1186
False,3.0,0.0,0.0,79,Snow,Heavy Snowfall,2024-01-03T15:00:00,Station A,1037
True,27.9,0.0,4.2,44,Snow,Light Snow,2024-01-03T16:00:00,Station C,626
False,7.8,1.2,0.0,11,Rain,Heavy Rain,2024-01-03T17:00:00,Station A,336
False,32.5,6.4,0.0,87,Rain,Heavy Rain,2024-01-03T18:00:00,Station B,1499
True,-0.5,9.6,0.0,43,Rain,Drizzle,2024-01-03T19:00:00,Station B,722
True,11.4,0.0,0.0,77,Clear,Clear skies,2024-01-03T20:00:00,Station B,69
True,-6.3,0.0,3.3,68,Snow,Heavy Snowfall,2024-01-03T21:00:00,Station D,1153
False,33.7,0.0,0.0,45,Clear,Clear skies,2024-01-03T22:00:00,Station D,820
False,10.8,0.0,0.0,15,Clear,Sunny,2024-01-03T23:00:00,Station B,445
True,2.7,0.0,0.0,97,Clear,Sunny,2024-01-04T00:00:00,Station B,782
True,34.1,0.0,0.0,29,Cloudy,Partly Cloudy,2024-01-04T01:00:00,Station C,793
False,-1.2,0.0,0.0,0,Cloudy,Overcast,2024-01-04T02:00:00,Station D,1357
True,14.8,0.0,2.8,21,Snow,Light Snow,2024-01-04T03:00:00,Station C,1447
True,1.7,0.0,0.0,16,Clear,Bright day,2024-01-04T04:00:00,Station B,1217
False,-9.0,0.0,0.0,86,Cloudy,Mostly Cloudy,2024-01-04T05:00:00,Station C,1469
True,18.8,0.0,0.0,54,Clear,Clear skies,2024-01-04T06:00:00,Station D,1381
True,-4.5,0.0,2.5,35,Snow,Heavy Snowfall,2024-01-04T07:00:00,Station D,1109
False,31.3,0.0,0.0,35,Clear,Clear skies,2024-01-04T08:00:00,Station B,1140
False,5.1,0.0,4.0,24,Snow,Light Snow,2024-01-04T09:00:00,Station A,512
True,4.8,0.0,0.0,21,Cloudy,Overcast,2024-01-04T10:00:00,Station B,178
True,16.7,0.0,1.7,3,Snow,Light Snow,2024-01-04T11:00:00,Station D,562
True,27.5,0.0,0.0,43,Cloudy,Overcast,2024-01-04T12:00:00,Station D,733
True,10.1,0.0,0.0,80,Clear,Sunny,2024-01-04T13:00:00,Station D,305
False,30.1,0.0,3.9,40,Snow,Light Snow,2024-01-04T14:00:00,Station A,176
False,-5.4,0.0,0.3,8,Snow,Light Snow,2024-01-04T15:00:00,Station C,831
True,25.4,0.0,0.0,76,Cloudy,Partly Cloudy,2024-01-04T16:00:00,Station D,1327
True,29.6,0.0,1.7,54,Snow,Snow Showers,2024-01-04T17:00:00,Station D,1433
True,-5.4,0.0,0.0,13,Cloudy,Mostly Cloudy,2024-01-04T18:00:00,Station C,1268
False,12.9,0.0,0.0,81,Cloudy,Partly Cloudy,2024-01-04T19:00:00,Station B,777
True,-3.8,0.0,0.0,31,Cloudy,Overcast,2024-01-04T20:00:00,Station D,140
True,33.2,0.0,1.6,65,Snow,Light Snow,2024-01-04T21:00:00,Station C,1158
True,5.4,3.7,0.0,77,Rain,Light Rain,2024-01-04T22:00:00,Station D,66
True,5.5,0.0,0.0,54,Clear,Sunny,2024-01-04T23:00:00,Station B,460
False,11.4,0.0,0.0,85,Cloudy,Mostly Cloudy,2024-01-05T00:00:00,Station C,1466
False,3.5,3.3,0.0,78,Rain,Light Rain,2024-01-05T01:00:00,Station C,264
True,18.7,0.0,0.0,0,Cloudy,Partly Cloudy,2024-01-05T02:00:00,Station D,1469
False,23.1,0.0,0.0,61,Cloudy,Overcast,2024-01-05T03:00:00,Station B,728
False,6.3,0.0,0.0,0,Cloudy,Overcast,2024-01-05T04:00:00,Station D,201
False,9.8,0.0,0.0,37,Cloudy,Overcast,2024-01-05T05:00:00,Station A,1342
False,2.8,0.0,0.0,25,Cloudy,Mostly Cloudy,2024-01-05T06:00:00,Station A,498
False,1.1,2.0,0.0,70,Rain,Light Rain,2024-01-05T07:00:00,Station B,410
False,19.5,0.0,0.0,48,Cloudy,Overcast,2024-01-05T08:00:00,Station A,277
False,6.6,0.0,0.9,30,Snow,Heavy Snowfall,2024-01-05T09:00:00,Station C,1129
True,29.7,0.0,0.0,18,Clear,Sunny,2024-01-05T10:00:00,Station A,317
True,17.0,9.8,0.0,40,Rain,Drizzle,2024-01-05T11:00:00,Station D,550
True,4.7,0.5,0.0,19,Rain,Drizzle,2024-01-05T12:00:00,Station B,623
True,-6.3,0.0,0.0,93,Cloudy,Overcast,2024-01-05T13:00:00,Station D,1013
False,13.4,1.8,0.0,63,Rain,Drizzle,2024-01-05T14:00:00,Station D,815
True,16.2,0.0,4.0,34,Snow,Light Snow,2024-01-05T15:00:00,Station D,1380
True,28.8,0.0,0.0,57,Cloudy,Partly Cloudy,2024-01-05T16:00:00,Station B,860
True,-2.9,0.0,1.3,73,Snow,Light Snow,2024-01-05T17:00:00,Station D,223
False,5.8,0.0,2.3,66,Snow,Snow Showers,2024-01-05T18:00:00,Station C,1322
True,8.4,0.0,1.6,55,Snow,Light Snow,2024-01-05T19:00:00,Station D,833
True,19.0,0.0,0.0,33,Cloudy,Partly Cloudy,2024-01-05T20:00:00,Station D,785
True,-5.6,0.7,0.0,29,Rain,Heavy Rain,2024-01-05T21:00:00,Station A,128
False,3.6,8.2,0.0,32,Rain,Light Rain,2024-01-05T22:00:00,Station B,1449
False,24.7,2.8,0.0,1,Rain,Heavy Rain,2024-01-05T23:00:00,Station B,759
True,13.1,0.0,0.7,83,Snow,Light Snow,2024-01-06T00:00:00,Station A,864
False,13.2,0.0,3.8,29,Snow,Light Snow,2024-01-06T01:00:00,Station B,994
False,24.7,0.0,0.0,54,Cloudy,Overcast,2024-01-06T02:00:00,Station C,1479
