station_name,datetime,precipitation,snow,temperature,weather_condition,clouds
Station D,2024-01-01T06:00:00,4.9,0.0,11.9,Rain,4
Station A,2024-01-01T07:00:00,0.0,0.0,15.9,Clear,54
Station D,2024-01-01T08:00:00,9.4,1.7,12.3,Snow,14
Station B,2024-01-01T09:00:00,3.4,0.0,-1.4,Rain,92
Station C,2024-01-01T10:00:00,7.2,2.0,29.7,Snow,16
Station B,2024-01-01T11:00:00,0.0,0.0,21.1,Cloudy,36
Station B,2024-01-01T12:00:00,0.0,0.0,17.3,Cloudy,20
Station C,2024-01-01T13:00:00,0.0,0.0,15.1,Cloudy,26
Station C,2024-01-01T14:00:00,0.0,0.0,27.3,Cloudy,22
Station C,2024-01-01T15:00:00,1.2,1.1,17.8,Snow,14
Station A,2024-01-01T16:00:00,8.7,0.0,28.4,Rain,19
Station A,2024-01-01T17:00:00,7.6,4.9,33.3,Snow,58
Station A,2024-01-01T18:00:00,0.0,0.0,18.3,Clear,21
Station C,2024-01-01T19:00:00,7.3,0.5,12.8,Snow,97
Station B,2024-01-01T20:00:00,0.0,0.0,9.8,Clear,25
Station D,2024-01-01T21:00:00,0.9,0.0,12.7,Rain,36
Station B,2024-01-01T22:00:00,0.0,0.0,23.9,Cloudy,96
Station D,2024-01-01T23:00:00,9.5,2.6,30.4,Snow,52
Station D,2024-01-02T00:00:00,0.0,0.0,-9.6,Cloudy,98
Station C,2024-01-02T01:00:00,1.6,0.0,34.2,Rain,51
Station B,2024-01-02T02:00:00,0.0,0.0,34.1,Clear,80
Station D,2024-01-02T03:00:00,9.1,0.0,23.4,Rain,92
Station B,2024-01-02T04:00:00,8.9,3.1,19.0,Snow,57
Station C,2024-01-02T05:00:00,3.0,0.2,-1.1,Snow,99
Station B,2024-01-02T06:00:00,5.5,0.0,-5.8,Rain,27
Station B,2024-01-02T07:00:00,0.0,0.0,30.1,Clear,3
Station C,2024-01-02T08:00:00,0.6,1.9,-5.0,Snow,64
Station A,2024-01-02T09:00:00,0.0,0.0,3.4,Clear,57
Station B,2024-01-02T10:00:00,0.0,0.0,3.5,Cloudy,44
Station D,2024-01-02T11:00:00,0.0,0.0,4.8,Cloudy,13
Station D,2024-01-02T12:00:00,0.0,0.0,22.0,Clear,18
Station A,2024-01-02T13:00:00,4.5,1.8,11.4,Snow,16
Station D,2024-01-02T14:00:00,4.2,0.0,12.4,Rain,74
Station D,2024-01-02T15:00:00,0.0,0.0,12.8,Cloudy,18
Station A,2024-01-02T16:00:00,0.0,0.0,11.3,Cloudy,58
Station D,2024-01-02T17:00:00,0.0,0.0,6.6,Clear,15
Station B,2024-01-02T18:00:00,0.0,0.0,3.7,Clear,47
Station D,2024-01-02T19:00:00,0.0,0.0,-3.6,Clear,18
Station C,2024-01-02T20:00:00,7.4,0.0,-1.8,Rain,27
Station C,2024-01-02T21:00:00,0.0,0.0,8.8,Clear,5
Station D,2024-01-02T22:00:00,8.3,0.0,7.0,Rain,100
